Time	Clean	Noisy	Reconstructed
0.303589	-0.225409	-0.513582	-0.0564775
0.303711	-0.426459	-3.66893	-0.193434
0.303833	-0.524284	3.32004	-0.240942
0.303955	-0.50574	-1.09442	-0.191944
0.304077	-0.37142	0.985764	-0.050857
0.304199	-0.135586	-2.2024	0.166974
0.304321	0.175513	1.97554	0.437118
0.304443	0.526736	-0.565177	0.728971
0.304565	0.878196	2.9483	1.0094
0.304688	1.18996	0.731927	1.24667
0.30481	1.42678	2.90492	1.4142
0.304932	1.56219	1.39498	1.49373
0.305054	1.58172	4.34608	1.47742
0.305176	1.48452	-2.85138	1.36882
0.305298	1.2835	-0.681762	1.18237
0.30542	1.0038	-2.14309	0.941717
0.305542	0.679821	2.47184	0.676851
0.305664	0.351167	-0.844492	0.420568
0.305786	0.0579799	-2.04384	0.204562
0.305908	-0.163801	-0.557466	0.0556714
0.30603	-0.286678	3.03093	-0.00729741
0.306152	-0.294836	-0.864386	0.0242127
0.306274	-0.186011	3.32452	0.147512
0.306396	0.0282432	-0.581682	0.348999
0.306519	0.32392	3.52661	0.605795
0.306641	0.667387	0.818636	0.888465
0.306763	1.01936	2.18392	1.16453
0.306885	1.33952	0.971454	1.40231
0.307007	1.59129	2.93902	1.57469
0.307129	1.74613	1.38424	1.66233
0.307251	1.78693	4.62231	1.65596
0.307373	1.70998	1.47534	1.55743
0.307495	1.52546	4.96624	1.37951
0.307617	1.2562	3.90609	1.14436
0.307739	0.935019	2.21195	0.88085
0.307861	0.600821	-2.93147	0.621178
0.307983	0.294032	-2.9328	0.397009
0.308105	0.0518179	2.2086	0.235732
0.308228	-0.0962925	0.408491	0.157209
0.30835	-0.131895	0.428751	0.171434
0.308472	-0.0498788	-3.46934	0.277351
0.308594	0.14097	0.996748	0.462996
0.308716	0.419005	-0.668392	0.706925
0.308838	0.752271	0.600951	0.980773
0.30896	1.10228	0.607834	1.25262
0.309082	1.42852	0.681567	1.49081
0.309204	1.6933	1.94576	1.66764
0.309326	1.86612	-0.422297	1.76275
0.309448	1.9273	6.29283	1.76542
0.30957	1.87033	0.250336	1.67592
0.309692	1.70258	-0.329562	1.50542
0.309814	1.44448	0.934371	1.27468
0.309937	1.12708	0.918505	1.01157
